                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     93,                0.52762,                0.31345,                0.96066,                  0.985,                0.98631,                0.99322,                0.91074,                0.46529,                0.20325,                0.90259,               0.003928,               0.003928,               0.003928
                     94,                0.53117,                0.31511,                 0.9636,                0.98576,                0.98864,                 0.9941,                0.91048,                0.46824,                0.20963,                 0.9051,               0.003862,               0.003862,               0.003862
                     95,                0.53023,                 0.3119,                0.96323,                0.98682,                0.99194,                0.99414,                0.91068,                0.46332,                0.20458,                0.90181,               0.003796,               0.003796,               0.003796
                     96,                 0.5348,                0.31494,                0.96666,                0.98954,                0.99089,                0.99411,                0.91154,                0.46453,                0.20657,                0.90228,                0.00373,                0.00373,                0.00373
                     97,                0.52382,                0.31325,                0.96021,                0.99166,                0.98716,                0.99361,                 0.9117,                0.46555,                0.20544,                0.90308,               0.003664,               0.003664,               0.003664
                     98,                0.53902,                0.31733,                0.96718,                0.98749,                0.99314,                0.99307,                0.90847,                0.46569,                0.20444,                0.90226,               0.003598,               0.003598,               0.003598
                     99,                0.52796,                0.30878,                0.96053,                0.98817,                 0.9904,                 0.9925,                0.90937,                0.46463,                0.20469,                0.90321,               0.003532,               0.003532,               0.003532
                    100,                0.51838,                0.30529,                0.95717,                0.99138,                0.98648,                0.99336,                0.91286,                0.46557,                0.20406,                0.90099,               0.003466,               0.003466,               0.003466
                    101,                 0.5136,                0.30168,                0.95751,                 0.9903,                0.98719,                0.99367,                0.91277,                0.46261,                0.20411,                0.89908,                 0.0034,                 0.0034,                 0.0034
                    102,                0.52033,                0.30305,                0.96173,                0.99201,                0.98421,                0.99413,                0.91414,                 0.4562,                0.19624,                0.89822,               0.003334,               0.003334,               0.003334
                    103,                0.51789,                0.30306,                0.95954,                 0.9895,                0.99073,                 0.9942,                0.91619,                0.45644,                0.19993,                0.89688,               0.003268,               0.003268,               0.003268
                    104,                 0.5142,                0.29764,                0.95595,                0.99236,                0.98982,                0.99379,                 0.9171,                0.45779,                0.20035,                0.89996,               0.003202,               0.003202,               0.003202
                    105,                0.51962,                0.31053,                0.95781,                  0.991,                0.99115,                0.99378,                0.91719,                0.45808,                0.19907,                0.89859,               0.003136,               0.003136,               0.003136
                    106,                0.51394,                0.29395,                0.95453,                0.99126,                0.99212,                0.99403,                0.91564,                0.45806,                0.19803,                0.89977,                0.00307,                0.00307,                0.00307
                    107,                0.51201,                0.29907,                 0.9564,                0.99154,                0.99195,                0.99433,                0.91516,                0.45831,                0.19608,                0.89868,               0.003004,               0.003004,               0.003004
                    108,                0.50374,                0.29987,                0.95327,                0.99032,                0.99073,                0.99425,                0.91609,                 0.4591,                 0.1973,                0.89841,               0.002938,               0.002938,               0.002938
                    109,                0.50467,                0.29235,                0.95117,                0.99127,                0.98494,                 0.9938,                0.91568,                0.45979,                0.19856,                0.89983,               0.002872,               0.002872,               0.002872
                    110,                0.50597,                0.29036,                0.95639,                0.99255,                0.98855,                0.99368,                0.91325,                   0.46,                0.19619,                 0.8999,               0.002806,               0.002806,               0.002806
                    111,                0.50328,                0.28897,                 0.9506,                0.99143,                 0.9924,                0.99431,                0.91451,                0.45638,                0.19605,                0.89848,                0.00274,                0.00274,                0.00274
                    112,                0.49842,                0.28924,                0.95311,                0.99087,                0.98928,                0.99415,                0.91439,                0.45692,                0.19549,                0.90063,               0.002674,               0.002674,               0.002674
                    113,                0.50846,                0.28959,                0.95611,                0.98991,                0.98933,                0.99415,                 0.9145,                0.46247,                0.19534,                0.90278,               0.002608,               0.002608,               0.002608
                    114,                0.49409,                0.28157,                0.95113,                0.99352,                0.98405,                0.99449,                0.91651,                0.45933,                0.19335,                 0.9018,               0.002542,               0.002542,               0.002542
                    115,                0.49518,                0.28811,                0.95056,                0.99149,                0.98757,                0.99459,                 0.9146,                0.45483,                0.19546,                0.89828,               0.002476,               0.002476,               0.002476
                    116,                0.49546,                 0.2835,                0.94869,                0.99217,                0.98651,                0.99427,                0.91736,                0.45649,                0.19236,                0.89794,                0.00241,                0.00241,                0.00241
                    117,                0.49896,                0.28842,                0.95011,                0.98472,                0.99242,                0.99409,                0.91557,                 0.4536,                0.19427,                0.89801,               0.002344,               0.002344,               0.002344
                    118,                0.49979,                0.28952,                0.95113,                0.98943,                0.99036,                0.99407,                0.91678,                0.45045,                0.19255,                0.89793,               0.002278,               0.002278,               0.002278
                    119,                0.48863,                0.28432,                0.94638,                0.98915,                0.98963,                0.99438,                0.91597,                0.45275,                0.19514,                0.89934,               0.002212,               0.002212,               0.002212
