epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
128,6952.98,0.4329,0.24122,0.92764,0.99471,0.98994,0.99398,0.91415,0.4564,0.18752,0.91306,0.001618,0.001618,0.001618
129,7007.14,0.42399,0.24342,0.92575,0.9949,0.98978,0.99397,0.91569,0.45445,0.19028,0.9121,0.001552,0.001552,0.001552
130,7061.68,0.4302,0.24258,0.92631,0.99398,0.9898,0.99392,0.91592,0.45633,0.18704,0.91276,0.001486,0.001486,0.001486
131,7115.95,0.42376,0.24075,0.92459,0.99541,0.98748,0.99379,0.91511,0.45746,0.18878,0.91474,0.00142,0.00142,0.00142
132,7170.1,0.42293,0.23732,0.92471,0.99475,0.98828,0.99369,0.91492,0.45978,0.19168,0.91736,0.001354,0.001354,0.001354
133,7224.36,0.42028,0.24253,0.9203,0.99176,0.99046,0.99361,0.91591,0.45906,0.19239,0.91738,0.001288,0.001288,0.001288
134,7278.58,0.41663,0.23556,0.9251,0.99316,0.99192,0.9937,0.91399,0.45821,0.18903,0.91778,0.001222,0.001222,0.001222
135,7333,0.41664,0.2342,0.91824,0.9929,0.99294,0.99364,0.91382,0.45939,0.18824,0.91899,0.001156,0.001156,0.001156
136,7387.46,0.41359,0.23617,0.92324,0.99476,0.98878,0.99355,0.91373,0.46132,0.19018,0.91996,0.00109,0.00109,0.00109
137,7441.36,0.41456,0.23834,0.92315,0.99442,0.98972,0.9935,0.91232,0.46176,0.19058,0.92159,0.001024,0.001024,0.001024
138,7495.37,0.41355,0.23287,0.92605,0.99313,0.98979,0.99358,0.91259,0.4613,0.19096,0.92293,0.000958,0.000958,0.000958
139,7549.55,0.40904,0.23356,0.92191,0.99041,0.98981,0.99353,0.91265,0.46263,0.18951,0.92485,0.000892,0.000892,0.000892
140,7603.68,0.40318,0.22551,0.91471,0.98808,0.99258,0.99364,0.91344,0.46118,0.18979,0.92466,0.000826,0.000826,0.000826
141,7658.87,0.32279,0.1597,0.85219,0.98838,0.99233,0.99366,0.91259,0.46047,0.18827,0.92502,0.00076,0.00076,0.00076
142,7712.88,0.31474,0.15372,0.84978,0.98699,0.9929,0.99372,0.91277,0.45905,0.18717,0.92438,0.000694,0.000694,0.000694
143,7767.18,0.31044,0.15152,0.84689,0.9938,0.98921,0.99384,0.91335,0.45834,0.18642,0.92387,0.000628,0.000628,0.000628
144,7821.19,0.30781,0.14922,0.84835,0.99301,0.99019,0.9938,0.91396,0.45868,0.18695,0.92427,0.000562,0.000562,0.000562
145,7875.13,0.30658,0.14894,0.85063,0.99309,0.99046,0.99375,0.91369,0.45752,0.18718,0.92414,0.000496,0.000496,0.000496
146,7928.73,0.30445,0.14803,0.84605,0.99325,0.99042,0.99382,0.91448,0.45901,0.18847,0.92536,0.00043,0.00043,0.00043
147,7982.67,0.29961,0.14484,0.84408,0.99323,0.99048,0.99376,0.91487,0.45849,0.18836,0.9253,0.000364,0.000364,0.000364
148,8036.4,0.30012,0.1443,0.83764,0.99303,0.99071,0.99374,0.91522,0.4588,0.18894,0.92498,0.000298,0.000298,0.000298
149,8090.28,0.29604,0.14329,0.84049,0.99297,0.99098,0.99375,0.91561,0.45799,0.18869,0.92462,0.000232,0.000232,0.000232
150,8144.21,0.29811,0.14738,0.84881,0.99287,0.99077,0.99375,0.91541,0.45807,0.18912,0.92504,0.000166,0.000166,0.000166
